"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AccountMenu/AccountMenu.css", "CSS", 0, 0, 3, 0, 0, 3
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AccountMenu/AccountMenu.jsx", "JavaScript JSX", 0, 87, 0, 4, 5, 96
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ActiveFundraiserItem/ActiveFundraiserItem.css", "CSS", 0, 0, 9, 0, 1, 10
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ActiveFundraiserItem/ActiveFundraiserItem.jsx", "JavaScript JSX", 0, 589, 0, 29, 9, 627
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddAccountModal/AddAccountModal.jsx", "JavaScript JSX", 0, 306, 0, 51, 15, 372
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddAccountModal/RadioButtons.jsx", "JavaScript JSX", 0, 31, 0, 1, 5, 37
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddAccountModal/StateFieldInput.jsx", "JavaScript JSX", 0, 27, 0, 0, 7, 34
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddAccountModal/WebsiteInput.jsx", "JavaScript JSX", 0, 31, 0, 2, 6, 39
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddBoxIcon/AddBoxIcon.jsx", "JavaScript JSX", 0, 11, 0, 0, 2, 13
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddFileButton/AddFileButton.jsx", "JavaScript JSX", 0, 23, 0, 45, 3, 71
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddGroupPopover/AddGroupPopover.css", "CSS", 0, 0, 14, 0, 3, 17
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/AddGroupPopover/AddGroupPopover.jsx", "JavaScript JSX", 0, 127, 0, 32, 11, 170
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/App/App.css", "CSS", 0, 0, 90, 17, 19, 126
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/App/App.jsx", "JavaScript JSX", 0, 203, 0, 38, 30, 271
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ArchivedOrganizationCard/ArchivedOrganizationCard.css", "CSS", 0, 0, 116, 2, 15, 133
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ArchivedOrganizationCard/ArchivedOrganizationCard.jsx", "JavaScript JSX", 0, 180, 0, 7, 18, 205
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ArchivedOrganizations/ArchivedOrganizations.css", "CSS", 0, 0, 7, 0, 1, 8
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ArchivedOrganizations/ArchivedOrganizations.jsx", "JavaScript JSX", 0, 157, 0, 6, 9, 172
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Buttons/BackButton.jsx", "JavaScript JSX", 0, 16, 0, 2, 3, 21
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Buttons/CloseButton.jsx", "JavaScript JSX", 0, 12, 0, 1, 2, 15
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/Buttons/FloatingActionButton.jsx", "JavaScript JSX", 0, 9, 0, 0, 2, 11
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/CheckoutPage.jsx", "JavaScript JSX", 0, 226, 0, 21, 18, 265
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/CustomerInfoForm.jsx", "JavaScript JSX", 0, 74, 0, 14, 2, 90
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/NewOrderButton.jsx", "JavaScript JSX", 0, 15, 0, 0, 4, 19
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/OrderComplete.jsx", "JavaScript JSX", 0, 32, 0, 0, 3, 35
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/OrderPage.jsx", "JavaScript JSX", 0, 166, 0, 22, 20, 208
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/OrderSummaryDisplay.jsx", "JavaScript JSX", 0, 40, 0, 5, 3, 48
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/OrderSummaryTable.jsx", "JavaScript JSX", 0, 154, 0, 10, 12, 176
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/OrderTable.jsx", "JavaScript JSX", 0, 174, 0, 5, 14, 193
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/PayPalButtons.jsx", "JavaScript JSX", 0, 102, 0, 13, 13, 128
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/ShoppingCart.jsx", "JavaScript JSX", 0, 183, 0, 20, 13, 216
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/TotalUpdate.jsx", "JavaScript JSX", 0, 25, 0, 0, 5, 30
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CheckoutPage/checkoutStyles.js", "JavaScript", 4, 0, 0, 0, 1, 5
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ClosedFundraiserItem/ClosedFundraiserItem.css", "CSS", 0, 0, 10, 0, 0, 10
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ClosedFundraiserItem/ClosedFundraiserItem.jsx", "JavaScript JSX", 0, 161, 0, 6, 2, 169
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CommentDisplay/CommentDisplay.jsx", "JavaScript JSX", 0, 69, 0, 17, 4, 90
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ConsumerCouponView/ConsumerCouponView.jsx", "JavaScript JSX", 0, 32, 0, 19, 3, 54
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ConsumerCouponView/CouponCard.jsx", "JavaScript JSX", 0, 62, 0, 2, 8, 72
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactDetails/ContactDetails.jsx", "JavaScript JSX", 0, 112, 0, 9, 8, 129
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactDetails/ContactDetailsCard.jsx", "JavaScript JSX", 0, 57, 0, 2, 6, 65
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactDetails/MerchantContactDetails.jsx", "JavaScript JSX", 0, 108, 0, 7, 12, 127
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactDetails/OrgContactDetails.css", "CSS", 0, 0, 59, 9, 13, 81
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactDetailsList/ContactDetailsList.jsx", "JavaScript JSX", 0, 73, 0, 16, 2, 91
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactEdit/ContactEdit.css", "CSS", 0, 0, 3, 0, 1, 4
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/ContactEdit/ContactEdit.jsx", "JavaScript JSX", 0, 248, 0, 34, 16, 298
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CouponLocations/CouponLocations.jsx", "JavaScript JSX", 0, 67, 0, 2, 5, 74
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CouponReviewCard/AddNewCouponModal.jsx", "JavaScript JSX", 0, 252, 0, 38, 21, 311
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CouponReviewCard/AllLocationsButton.jsx", "JavaScript JSX", 0, 22, 0, 0, 5, 27
"/Users/jcolago/EDA/Tier3/testing-psg/src/components/CouponReviewCard/CouponReviewCard.jsx", "JavaScript JSX", 0, 156, 0, 30, 19, 205
