Date : 2024-03-12 16:44:07
Directory : /Users/jcolago/EDA/Tier3/testing-psg/src
Total : 240 files,  18245 codes, 1712 comments, 1795 blanks, all 21752 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        134 |     13,925 |      1,450 |      1,135 |     16,510 |
| JavaScript     |         75 |      3,464 |        198 |        502 |      4,164 |
| CSS            |         31 |        856 |         64 |        158 |      1,078 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        240 |     18,245 |      1,712 |      1,795 |     21,752 |
| . (Files)                                                                                                 |          1 |         13 |          0 |          5 |         18 |
| components                                                                                                |        177 |     15,213 |      1,587 |      1,367 |     18,167 |
| components/AccountMenu                                                                                    |          2 |         90 |          4 |          5 |         99 |
| components/ActiveFundraiserItem                                                                           |          2 |        598 |         29 |         10 |        637 |
| components/AddAccountModal                                                                                |          4 |        395 |         54 |         33 |        482 |
| components/AddBoxIcon                                                                                     |          1 |         11 |          0 |          2 |         13 |
| components/AddFileButton                                                                                  |          1 |         23 |         45 |          3 |         71 |
| components/AddGroupPopover                                                                                |          2 |        141 |         32 |         14 |        187 |
| components/App                                                                                            |          2 |        293 |         55 |         49 |        397 |
| components/ArchivedOrganizationCard                                                                       |          2 |        296 |          9 |         33 |        338 |
| components/ArchivedOrganizations                                                                          |          2 |        164 |          6 |         10 |        180 |
| components/Buttons                                                                                        |          3 |         37 |          3 |          7 |         47 |
| components/CheckoutPage                                                                                   |         12 |      1,195 |        110 |        108 |      1,413 |
| components/ClosedFundraiserItem                                                                           |          2 |        171 |          6 |          2 |        179 |
| components/CommentDisplay                                                                                 |          1 |         69 |         17 |          4 |         90 |
